site,O18_ET_mean,O18_ET_std,O18_slope_mean,O18_slope_std,O18_goodpoints,O18_frac_good_overall,H2_ET_mean,H2_ET_std,H2_slope_mean,H2_slope_std,H2_goodpoints,H2_frac_good_overall,C13_mean,C13_std,C13_slope_mean,C13_slope_std,C13_goodpoints,C13_frac_good_overall
LAJA,,,,,,,,,,,,,-18.39672083053058,0.8677756067012823,0.14443533856594484,0.06689138412987011,394,0.26336898395721925
LENO,,,,,,,,,,,,,-27.45959089195877,1.1836869753059982,0.2206451501699382,0.16169958903689818,397,0.26537433155080214
MLBS,,,,,,,,,,,,,-27.115454705529206,1.156722144087442,0.360243234357602,0.17414794782966375,256,0.1711229946524064
MOAB,,,,,,,,,,,,,-25.808710563978817,4.470672439762628,0.5521063902747335,0.1811768151900949,87,0.05815508021390375
NIWO,-19.460102475591967,6.453235448629187,0.5157022853640121,0.43341692561147743,225,0.16544117647058823,-150.24535450746984,45.94471503718566,3.788493020095216,3.451388554630175,251,0.18455882352941178,-28.217580867482187,5.856523739015346,0.6177992272816124,0.21638654052326137,50,0.03342245989304813
NOGP,,,,,,,,,,,,,-26.06269702010532,2.348707638710725,0.32909147507587216,0.18427636625695615,333,0.22259358288770054
OAES,,,,,,,,,,,,,-21.581821884090807,3.828426538110198,0.34317003619531605,0.16339853109150765,390,0.2606951871657754
ONAQ,-18.681136825669395,4.7859914617209345,0.4369166200044614,0.2984309145544283,252,0.18529411764705883,-144.3173862174653,34.264185794438184,3.096009045094763,2.4431966385411705,322,0.23676470588235293,-29.580509242301357,3.196330657344114,0.5866458816903274,0.17996183467650348,140,0.09358288770053476
ORNL,-14.53277392054698,4.912225439624278,0.37720769100166085,0.2757752074419798,133,0.09779411764705882,-96.25902978995515,31.09984112265722,2.4489391662218094,1.6207433399305555,150,0.11029411764705882,-30.287215669613424,2.0488676074248735,0.406863336001264,0.23908381977913215,434,0.29010695187165775
OSBS,-9.24589577726665,2.2248018160787377,0.1935889159932534,0.09077078516574824,153,0.1125,-62.43762998167082,15.755714027162323,1.2692830795148435,0.6309553501298297,187,0.1375,-25.41247568126334,1.5206052064103313,0.320955695872118,0.16366201349696075,717,0.47927807486631013
PUUM,-9.570642678896458,1.2527947453315862,0.22152744706882838,0.08462747591215518,111,0.08161764705882353,-65.3618708511221,11.184010298549081,1.495009478467233,0.5576827800727158,99,0.07279411764705883,-27.249342868805513,0.8764720604301426,0.3920091088965402,0.1405953176845043,357,0.23863636363636365
RMNP,,,,,,,,,,,,,-25.83023409497264,1.5704814108398266,0.3364709678286977,0.17847343696681206,340,0.22727272727272727
SCBI,-12.29582953136181,4.352059532837956,0.33507113001207856,0.3164211777664612,180,0.1323529411764706,-99.10863055284545,40.49288603833502,2.7221528977738654,2.1817195424622446,190,0.13970588235294118,-27.020787822000443,1.659877726842305,0.35591615774682306,0.1932215922178887,305,0.2038770053475936
SERC,,,,,,,,,,,,,-27.40477547946506,1.9883153414108654,0.26495376179890967,0.1733405393512241,681,0.4552139037433155
SJER,-12.342684821009875,2.022085866761333,0.2777590801524256,0.1558024364511386,179,0.13161764705882353,-96.68163066713805,13.819516298380737,1.8828960591693014,1.2241984994629553,265,0.1948529411764706,-25.530236146466557,2.7715191853751064,0.4825253054180467,0.1444344675750374,199,0.13302139037433156
SOAP,,,,,,,,,,,,,-27.26456197659756,2.628173144363068,0.5580610560654997,0.17267950128146967,158,0.10561497326203209
SRER,-14.829012793573579,5.762458655615547,0.3847818528796247,0.3352687221407776,193,0.14191176470588235,-105.3091897639663,37.968315943499476,2.408968456021138,1.9904042797457497,306,0.225,-26.092080361993588,4.3796607061121495,0.5424934658635547,0.20326259479153985,206,0.13770053475935828
STEI,,,,,,,,,,,,,-26.83934836675513,1.2143899911038363,0.2852898966359978,0.19368539841462398,509,0.34024064171123
STER,,,,,,,,,,,,,-24.08942182492589,4.858184042218009,0.39689138705378485,0.19164196680808748,471,0.31483957219251335
TALL,-12.22764075988241,3.8360448176713917,0.2761695801285769,0.24776819786659524,162,0.11911764705882352,-80.00908320479854,27.307186471050056,1.8348367463471478,1.6328327372826572,195,0.14338235294117646,-27.06825702641584,1.816890143850542,0.3348233552220315,0.22947511186933078,454,0.303475935828877
TEAK,,,,,,,,,,,,,-26.515528762033192,1.0019645748037815,0.22782050665976486,0.15365788169786992,561,0.375
TOOL,-24.412854698351467,6.3847059422844445,0.6832827869882526,0.5812504214043815,129,0.09485294117647058,-189.82580301777202,42.67510689334614,4.5370006551772795,4.490132240065389,201,0.14779411764705883,-23.696813692669156,2.106274203188192,0.39305383052210524,0.22565584040832168,70,0.04679144385026738
TREE,,,,,,,,,,,,,-27.539451093182794,1.2150019386199773,0.2886793697637379,0.2047122431388507,618,0.41310160427807485
UKFS,,,,,,,,,,,,,-26.463633416138787,2.478498469678344,0.3870773041073158,0.18598987020863214,515,0.3442513368983957
UNDE,-18.501268518170306,7.02473985555241,0.5619698756706268,0.5369524605705066,163,0.11985294117647059,-140.98091938136506,49.84408943570284,3.8522916872284023,3.8828492854881294,216,0.1588235294117647,-26.752000706821583,2.1044597074954527,0.358560133429116,0.2577455159771774,456,0.3048128342245989
WOOD,-20.149058045930612,6.784201635208879,0.5280766267824126,0.4474306729142825,220,0.16176470588235295,-157.59743829652575,52.447689035692605,3.9335698512792465,3.349078028438193,263,0.19338235294117648,-27.027643670385473,2.448968191740601,0.355388513011353,0.1916576907964912,441,0.2947860962566845
WREF,-14.681150648827542,3.876156516216786,0.4906839949295817,0.3453105519963135,53,0.03897058823529412,-106.24593552769255,23.377241192582677,2.640583061672393,1.680931651482635,242,0.17794117647058824,-27.67396559970134,1.1003365235775555,0.25063344095299733,0.17909906167171624,649,0.4338235294117647
YELL,-21.422416876417778,6.593567123058419,0.579643332118015,0.5866973436133398,144,0.10588235294117647,-161.21201706471834,39.17358154686564,4.244735887532395,4.580423393513157,179,0.13161764705882353,-27.40899892336369,1.765128750535001,0.4422824767600959,0.18106611828840508,140,0.09358288770053476
